Amended_Category,Category_ID,Txn Category L4 (Clean),Service,Digital Time,Branch Time,Migratable,Monthly Count,Details,service_image_link,service_alt_text,cat_image_link,cat_alt_text,description,deep_link
Apply for Digibank,1,IBANK SIGNUP,Apply for Digibank,3,15,TRUE,500,Internet banking signup,icons/Apply for Digibank.png,,categories/apply_for_digibank.jpg,,"Register and activate your digibank now and experience a simpler way of banking anytime, anywhere.",https://internet-banking.dbs.com.sg/IB/Welcome
Statement Request,6,STATEMENT REQUEST,Statement Request,2,10,TRUE,1000,Request statement,icons/Statement Request.png,,categories/statement_request.jpg,,You can now easily retrieve your statements via digibank.,https://internet-banking.dbs.com.sg/IB/Welcome
Tokens Replacement,7,TOKENS REPLACEMENT,Tokens Replacement,2,10,TRUE,1000,Tokens replacement,icons/Tokens Replacement.png,,categories/tokens_replacement.jpg,,"With Digital Token, you no longer need to wait for SMS OTPs or depend on your physical token to authenticate your banking transactions.",https://internet-banking.dbs.com.sg/IB/Welcome
Personal Info Update,5,UPDATE ADDRESS,Update Address,3,15,TRUE,5000,Update Address,icons/Update Address.png,,categories/personal_info_update.jpg,,Change your address with us easily via digibank,https://internet-banking.dbs.com.sg/IB/Welcome
Personal Info Update,5,UPDATE EMAIL,Update Email,3,10,TRUE,10000,Update Email,icons/Update Email.png,,categories/personal_info_update.jpg,,"Keep your email address updated to receive your transaction alerts, so you are notified of your account activities.",https://internet-banking.dbs.com.sg/IB/Welcome
Personal Info Update,5,UPDATE PARTICULARS,Update Particulars,5,15,TRUE,500,Update Particulars,icons/Update Particulars.png,,categories/personal_info_update.jpg,,"Update your Personal Details, Signature Records or Passport Number (for foreigners) if you have recently changed it.",https://internet-banking.dbs.com.sg/IB/Welcome
Personal Info Update,5,UPDATE PHONE,Update Phone,3,10,TRUE,1000,Update Phone,icons/Update Phone.png,,categories/personal_info_update.jpg,,"Keep your mobile number updated and ensure your transaction alerts on digibank app and mobile device are turned on, so you are notified of your account activities.",https://internet-banking.dbs.com.sg/IB/Welcome
Funds Transfer,3,FUND TRANSFER,Current/Savings Account,1,4,TRUE,1000,Transfer funds,icons/Foreign Currency Current Account.png,,categories/fund_transfer.jpg,,Transfer funds easily to another DBS/POSB account via digibank or our DBS/POSB ATM.,https://internet-banking.dbs.com.sg/IB/Welcome
Funds Transfer,3,OTT,Overseas Remittance,4,7,TRUE,500,Outward telegraphic transfer,icons/Overseas Remittance.png,,categories/fund_transfer.jpg,,"digibank allows you to perform Overseas Funds Transfer to over 200+ markets in more than 30+ currencies anywhere, anytime.",https://internet-banking.dbs.com.sg/IB/Welcome
Funds Transfer,3,TRANSFER,Foreign Currency Current Account,3,8,TRUE,500,Funds Transfer,icons/Foreign Currency Current Account.png,,categories/fund_transfer.jpg,,Enable your Card for overseas usage to transact and withdraw foreign currency overseas.,https://internet-banking.dbs.com.sg/IB/Welcome
